time,dr,drc,dw,dwc,nr,nwfirst,size
1255310,16640,4,0,0,8192,625,625
1220243,16640,4,0,0,8192,631,631
1237008,16640,4,0,0,8192,697,697
1513542,24960,6,0,0,8192,8192,14118
1331331,16640,4,0,0,8192,625,625
1253406,16640,4,0,0,8192,625,625
1247163,16640,4,0,0,8192,615,615
1329740,16768,5,0,0,8192,597,597
1920279,16768,5,0,0,8192,640,640
1481145,24960,6,0,0,8192,8192,8687
1576683,33152,7,0,0,8192,8192,23265
1373382,16768,5,0,0,8192,673,673
1663585,33408,9,0,0,8192,8192,17224
1266861,16640,4,0,0,8192,702,702
1768776,41600,10,0,0,8192,8192,31723
1872660,33408,9,0,0,8192,8192,17598
707900,108160,26,0,0,8192,8192,92105
1392288,24960,6,0,0,8192,8192,12426
1735455,41728,11,0,0,8192,8192,29479
1573951,33408,9,0,0,8192,8192,19182
1286323,16640,4,0,0,8192,680,680
1238058,16640,4,0,0,8192,669,669
1294487,16640,4,0,0,8192,655,655
1273346,16640,4,0,0,8192,677,677
1346806,16640,4,0,0,8192,648,648
1307352,16768,5,0,0,8192,712,712
1448595,25088,7,0,0,8192,8192,11675
1293124,16640,4,0,0,8192,618,618
706073,16640,4,0,0,8192,682,682
1221267,16640,4,0,0,8192,669,669
1252861,16640,4,0,0,8192,674,674
1343929,16640,4,0,0,8192,676,676
1410343,16768,5,0,0,8192,710,710
1314145,16640,4,0,0,8192,682,682
1276202,16640,4,0,0,8192,628,628
1449658,24960,6,0,0,8192,8192,15089
1417784,16768,5,0,0,8192,664,664
1727215,33408,9,0,0,8192,8192,16906
2123907,66560,16,0,0,8192,8192,50639
2242989,91648,23,0,0,8192,8192,80414
1261932,16640,4,0,0,8192,622,622
1509210,33152,7,0,0,8192,8192,20801
1611555,33280,8,0,0,8192,8192,18558
2201719,99200,19,0,0,8192,8192,83951
1335236,16640,4,0,0,8192,646,646
884983,66688,17,0,0,8192,8192,50410
1553456,33408,9,0,0,8192,8192,21205
1523676,25088,7,0,0,8192,8192,15289
2104655,91136,19,0,0,8192,8192,74278
1320742,16640,4,0,0,8192,713,713
1656977,41472,9,0,0,8192,8192,26072
1230698,16640,4,0,0,8192,641,641
1251109,16640,4,0,0,8192,622,622
1378176,16640,4,0,0,8192,649,649
1251512,16640,4,0,0,8192,667,667
1543952,41344,8,0,0,8192,8192,26246
1436133,24960,6,0,0,8192,8192,15427
1661139,41472,9,0,0,8192,8192,29718
1783340,41728,11,0,0,8192,8192,32517
1319487,16640,4,0,0,8192,676,676
1282325,16640,4,0,0,8192,683,683
1484845,24960,6,0,0,8192,8192,9873
1837787,50048,13,0,0,8192,8192,32960
1412306,24960,6,0,0,8192,8192,11528
1651200,25088,7,0,0,8192,8192,15693
2172184,49664,10,0,0,8192,8192,34964
1785921,41728,11,0,0,8192,8192,26359
1268031,16640,4,0,0,8192,654,654
1353912,16768,5,0,0,8192,625,625
2216021,83200,20,0,0,8192,8192,72129
1576266,25088,7,0,0,8192,8192,13881
1252167,16640,4,0,0,8192,633,633
2687232,75008,19,0,0,8192,8192,60219
1286503,16640,4,0,0,8192,666,666
1555954,33280,8,0,0,8192,8192,20065
742133,24960,6,0,0,8192,8192,15243
517854,41344,8,0,0,8192,8192,28635
1573198,24960,6,0,0,8192,8192,12264
2007779,66432,15,0,0,8192,8192,56159
1251087,16640,4,0,0,8192,621,621
1260114,16640,4,0,0,8192,627,627
1886810,49920,12,0,0,8192,8192,33933
1383915,16768,5,0,0,8192,646,646
1531099,25088,7,0,0,8192,8192,15146
1480653,25088,7,0,0,8192,8192,9228
1059248,41600,10,0,0,8192,8192,28510
1521211,25088,7,0,0,8192,8192,14151
2203230,41728,11,0,0,8192,8192,32768
1618515,25088,7,0,0,8192,8192,11003
1329310,16640,4,0,0,8192,688,688
1485751,24960,6,0,0,8192,8192,10112
1916867,66176,13,0,0,8192,8192,51326
1273786,16640,4,0,0,8192,676,676
2268854,83328,21,0,0,8192,8192,73082
1387688,24960,6,0,0,8192,8192,10711
1219444,16640,4,0,0,8192,621,621
2042856,49920,12,0,0,8192,8192,34975
1675042,25088,7,0,0,8192,8192,13071
1950140,50048,13,0,0,8192,8192,37067
1453223,25088,7,0,0,8192,8192,8502
1445483,25088,7,0,0,8192,8192,14363
1282513,16640,4,0,0,8192,631,631
1581097,25088,7,0,0,8192,8192,16020
2460732,75008,19,0,0,8192,8192,64261
1566371,25088,7,0,0,8192,8192,12955
1531075,24960,6,0,0,8192,8192,14506
1263142,16640,4,0,0,8192,652,652
1495008,25088,7,0,0,8192,8192,8595
1312101,16768,5,0,0,8192,625,625
1330126,16640,4,0,0,8192,631,631
1327613,16768,5,0,0,8192,660,660
1465602,24960,6,0,0,8192,8192,11195
1353626,16640,4,0,0,8192,741,741
1265633,16640,4,0,0,8192,624,624
1000708,50048,13,0,0,8192,8192,37137
1306377,16640,4,0,0,8192,686,686
1553427,33280,8,0,0,8192,8192,22420
1293644,16640,4,0,0,8192,686,686
1316483,16640,4,0,0,8192,677,677
1848185,33408,9,0,0,8192,8192,19635
469942,24960,6,0,0,8192,8192,13407
1309078,16640,4,0,0,8192,619,619
1304900,16640,4,0,0,8192,682,682
1324145,16640,4,0,0,8192,634,634
1684368,41472,9,0,0,8192,8192,29146
1534802,24960,6,0,0,8192,8192,15247
1365910,16768,5,0,0,8192,743,743
1982259,41728,11,0,0,8192,8192,25038
1250746,16640,4,0,0,8192,748,748
1473445,24960,6,0,0,8192,8192,9924
1256807,16640,4,0,0,8192,741,741
1524488,24960,6,0,0,8192,8192,8981
1379274,16640,4,0,0,8192,748,748
1413031,16768,5,0,0,8192,654,654
1454513,24960,6,0,0,8192,8192,10146
1282744,16640,4,0,0,8192,619,619
1697853,33280,8,0,0,8192,8192,23304
1330434,16640,4,0,0,8192,669,669
1203737,16640,4,0,0,8192,721,721
1358759,16640,4,0,0,8192,625,625
544204,16768,5,0,0,8192,619,619
482326,25088,7,0,0,8192,8192,12053
1811529,33408,9,0,0,8192,8192,18424
778832,16768,5,0,0,8192,663,663
1746501,41600,10,0,0,8192,8192,29240
1311318,16640,4,0,0,8192,650,650
1836936,33280,8,0,0,8192,8192,22956
1676235,33408,9,0,0,8192,8192,22688
1965896,58112,13,0,0,8192,8192,44161
1618126,33280,8,0,0,8192,8192,16915
1262759,16640,4,0,0,8192,688,688
1271194,16640,4,0,0,8192,652,652
1506145,33152,7,0,0,8192,8192,20061
1582006,25088,7,0,0,8192,8192,12212
1514813,24960,6,0,0,8192,8192,13665
1328645,16640,4,0,0,8192,8192,8192
1643362,33280,8,0,0,8192,8192,22140
1368802,16768,5,0,0,8192,678,678
1335148,16768,5,0,0,8192,637,637
1443898,24960,6,0,0,8192,8192,15674
1517169,25088,7,0,0,8192,8192,12121
40075005,381307,710,0,0,8192,8192,17747
715592,24960,6,0,0,8192,8192,14476
1337514,16640,4,0,0,8192,655,655
1251085,16640,4,0,0,8192,670,670
1605005,24960,6,0,0,8192,8192,14726
1819479,25088,7,0,0,8192,8192,11418
1786572,49920,12,0,0,8192,8192,35971
1346459,16768,5,0,0,8192,622,622
1225598,16768,5,0,0,8192,676,676
705470,41216,7,0,0,8192,8192,28022
2189833,25088,7,0,0,8192,8192,14464
792787,16768,5,0,0,8192,669,669
1466376,24960,6,0,0,8192,8192,10640
1902589,16640,4,0,0,8192,642,642
620418,16640,4,0,0,8192,633,633
