dst,size,time
10,8,1524634939596952
10,8,1524634939596974
10,8,1524634939596994
10,8,1524634939597017
10,8,1524634939597055
10,8,1524634939597192
10,8,1524634939597214
10,8,1524634939597236
10,8,1524634939597258
10,8,1524634939597296
10,8,1524634939597318
10,8,1524634939597339
10,8,1524634939597362
10,8,1524634939597386
10,0,1524634939597408
10,0,1524634939597429
10,0,1524634939597471
10,0,1524634939597492
10,0,1524634939597528
10,0,1524634939597550
10,0,1524634939597572
10,0,1524634939597593
10,8,1524634939597615
10,8,1524634939597637
10,8,1524634939597658
10,8,1524634939597705
10,8,1524634939597727
10,8,1524634939597867
10,8,1524634939597889
10,8,1524634939597912
10,8,1524634939597933
10,8,1524634939597955
10,8,1524634939597979
10,8,1524634939598002
10,8,1524634939598024
10,8,1524634939598045
10,8,1524634939598067
10,8,1524634939598089
10,8,1524634939598111
10,8,1524634939598132
10,8,1524634939598154
10,8,1524634939598185
10,8,1524634939598210
10,8,1524634939598236
10,8,1524634939598257
10,8,1524634939598278
10,8,1524634939598301
10,8,1524634939598327
10,8,1524634939598348
10,8,1524634939598371
10,8,1524634939598393
10,0,1524634939598415
10,0,1524634939598436
10,0,1524634939598458
10,0,1524634939598479
10,0,1524634939598501
10,0,1524634939598522
10,0,1524634939598545
10,0,1524634939598566
10,8,1524634939598589
10,8,1524634939598611
10,8,1524634939598633
10,8,1524634939598655
10,8,1524634939598677
10,8,1524634939598699
10,8,1524634939598722
10,8,1524634939598743
10,8,1524634939598765
10,8,1524634939598787
10,8,1524634939598815
10,8,1524634939598837
10,8,1524634939598858
10,8,1524634939598879
10,8,1524634939598901
10,8,1524634939598923
10,8,1524634939598945
10,8,1524634939598967
10,8,1524634939598988
10,8,1524634939599010
10,8,1524634939599032
10,8,1524634939599054
10,8,1524634939599076
10,8,1524634939599099
10,8,1524634939599136
10,8,1524634939599170
10,8,1524634939599196
10,8,1524634939599217
10,8,1524634939599252
10,8,1524634939599273
10,8,1524634939599294
10,8,1524634939599316
10,0,1524634939599336
10,0,1524634939599358
10,0,1524634939599379
10,0,1524634939599401
10,0,1524634939599422
10,0,1524634939599500
10,0,1524634939599523
10,0,1524634939599544
10,8,1524634939599567
10,8,1524634939599589
10,8,1524634939599611
10,8,1524634939599633
10,8,1524634939599655
10,8,1524634939599677
10,8,1524634939599706
10,8,1524634939599730
10,8,1524634939599762
10,8,1524634939599783
10,8,1524634939599805
10,8,1524634939599830
10,8,1524634939599855
10,8,1524634939599876
10,8,1524634939599898
10,8,1524634939599920
10,8,1524634939599942
10,8,1524634939599964
10,8,1524634939600009
10,3688,1524634939600039
10,3688,1524634939600071
10,3688,1524634939600096
10,3688,1524634939600124
10,3688,1524634939600149
10,3688,1524634939600176
10,3688,1524634939600202
10,3688,1524634939600235
10,3688,1524634939600262
10,3688,1524634939600286
10,3624,1524634939600318
10,3688,1524634939600350
10,3688,1524634939600375
10,3688,1524634939600401
10,3688,1524634939600450
10,3688,1524634939600490
10,3688,1524634939600515
10,3688,1524634939600540
10,3688,1524634939600566
10,3688,1524634939600591
10,3688,1524634939600618
10,3688,1524634939600643
10,3688,1524634939600667
10,3688,1524634939600811
10,3688,1524634939600848
10,3688,1524634939600878
10,3688,1524634939600903
10,3688,1524634939600978
10,3688,1524634939601024
10,3688,1524634939601050
10,3688,1524634939601075
10,3688,1524634939601105
10,3688,1524634939601130
10,3688,1524634939601162
10,3688,1524634939601201
10,3688,1524634939601228
10,3688,1524634939601257
10,3688,1524634939601283
10,3688,1524634939601310
10,3688,1524634939601334
10,3688,1524634939601361
10,3688,1524634939601394
10,3688,1524634939601427
10,3688,1524634939601480
10,3688,1524634939601559
10,3688,1524634939601715
10,3688,1524634939601739
10,3688,1524634939601763
10,3688,1524634939601797
10,3688,1524634939601820
10,3624,1524634939601842
10,3688,1524634939601864
10,3688,1524634939601887
10,3688,1524634939601910
10,3688,1524634939601932
10,3688,1524634939601954
10,3688,1524634939601977
10,3688,1524634939602000
10,3688,1524634939602023
10,3688,1524634939602045
10,3688,1524634939602123
10,3688,1524634939602148
10,3688,1524634939602170
10,3688,1524634939602193
10,3688,1524634939602216
10,3688,1524634939602241
10,3688,1524634939602323
10,3688,1524634939602348
10,3688,1524634939602370
10,3688,1524634939602413
10,3688,1524634939602441
10,3688,1524634939602514
10,3688,1524634939602549
10,3688,1524634939602799
10,3688,1524634939602827
10,3688,1524634939602850
10,3688,1524634939602874
10,8,1524634939603096
10,8,1524634939603126
10,8,1524634939603150
10,8,1524634939603179
10,8,1524634939603202
10,8,1524634939603223
10,8,1524634939603264
10,8,1524634939603321
10,8,1524634939603342
10,8,1524634939603364
10,0,1524634939603386
10,0,1524634939603407
10,0,1524634939603430
10,0,1524634939603469
10,0,1524634939603492
10,0,1524634939603514
10,0,1524634939603536
10,0,1524634939603558
10,8,1524634939603580
10,8,1524634939603603
10,8,1524634939603625
10,8,1524634939603648
10,8,1524634939603670
10,8,1524634939603692
10,8,1524634939603714
10,8,1524634939603746
10,8,1524634939603768
10,8,1524634939603789
10,8,1524634939603810
10,8,1524634939603831
10,8,1524634939603852
10,8,1524634939603873
10,8,1524634939603894
10,8,1524634939603915
10,8,1524634939603936
10,8,1524634939603958
10,8,1524634939603979
10,8,1524634939604000
10,8,1524634939604021
10,8,1524634939604043
10,8,1524634939604064
10,8,1524634939604085
10,8,1524634939604106
10,8,1524634939604133
10,8,1524634939604156
10,8,1524634939604179
10,8,1524634939604209
10,8,1524634939604231
10,8,1524634939604254
10,8,1524634939604280
10,0,1524634939604310
10,0,1524634939604331
10,0,1524634939604353
10,0,1524634939604374
10,0,1524634939604411
10,0,1524634939604433
10,0,1524634939604455
10,0,1524634939604476
10,8,1524634939604497
10,8,1524634939604518
10,8,1524634939604539
10,8,1524634939604560
10,8,1524634939604581
10,8,1524634939604602
10,8,1524634939604624
10,8,1524634939604646
10,8,1524634939604668
10,8,1524634939604700
